A,B,C
608.0,441443.0,l
945.0,38447.0,j
846.0,376721.0,c
392.0,761209.0,b
949.0,814333.0,g
461.0,580546.0,d
769.0,602154.0,f
888.0,66769.0,d
163.0,891059.0,c
143.0,905846.0,f
187.0,901497.0,e
237.0,832375.0,k
396.0,733530.0,i
505.0,519557.0,i
609.0,736549.0,j
543.0,699563.0,f
207.0,640587.0,l
34.0,553192.0,k
380.0,239583.0,j
533.0,684922.0,j
518.0,674447.0,b
131.0,34799.0,d
119.0,333235.0,f
851.0,243922.0,a
854.0,737485.0,j
882.0,990851.0,a
571.0,985951.0,j
796.0,870649.0,a
431.0,232590.0,g
149.0,540800.0,h
807.0,50184.0,f
507.0,772702.0,h
350.0,515104.0,d
43.0,116273.0,i
124.0,405198.0,k
863.0,344388.0,d
74.0,461636.0,f
359.0,982274.0,c
514.0,689628.0,f
986.0,38621.0,a
629.0,972028.0,k
769.0,764564.0,g
853.0,886761.0,l
225.0,557759.0,h
933.0,421473.0,l
16.0,481764.0,f
116.0,666149.0,k
69.0,515159.0,j
764.0,111977.0,i
39.0,407165.0,k
181.0,978646.0,b
98.0,256051.0,k
29.0,756999.0,j
521.0,414263.0,b
109.0,127307.0,k
565.0,593981.0,g
469.0,553900.0,d
775.0,330425.0,g
12.0,785534.0,b
63.0,369212.0,j
833.0,559919.0,k
722.0,255173.0,k
755.0,253682.0,b
369.0,556104.0,k
979.0,244521.0,c
429.0,972945.0,l
568.0,9895.0,k
113.0,688977.0,f
781.0,921012.0,c
259.0,656541.0,b
964.0,548614.0,i
329.0,204713.0,d
379.0,180437.0,g
194.0,359408.0,c
432.0,12786.0,e
145.0,248350.0,h
340.0,115317.0,e
235.0,423614.0,g
184.0,496517.0,k
191.0,347321.0,j
295.0,853532.0,k
256.0,292071.0,l
460.0,807635.0,e
881.0,70461.0,a
715.0,354606.0,l
633.0,288783.0,l
515.0,812578.0,d
421.0,765778.0,k
433.0,116981.0,d
585.0,753858.0,l
98.0,867200.0,a
145.0,268102.0,f
974.0,563721.0,d
728.0,976246.0,e
345.0,954521.0,f
523.0,861525.0,c
931.0,72083.0,b
731.0,319170.0,e
687.0,427170.0,l
984.0,754849.0,l
689.0,192100.0,e
204.0,576590.0,l
971.0,869038.0,k
800.0,870389.0,k
382.0,208396.0,e
345.0,515134.0,a
764.0,699520.0,i
825.0,776720.0,g
897.0,712445.0,a
316.0,764116.0,c
556.0,567098.0,c
837.0,684866.0,f
7.0,315582.0,i
423.0,353101.0,j
97.0,108861.0,l
93.0,428061.0,f
767.0,431858.0,h
324.0,990723.0,i
464.0,984344.0,e
238.0,576005.0,k
93.0,797744.0,h
447.0,676287.0,g
352.0,855348.0,l
405.0,207021.0,b
382.0,337503.0,f
415.0,457253.0,d
370.0,240722.0,g
534.0,977399.0,d
895.0,217053.0,e
892.0,90037.0,l
497.0,794377.0,l
50.0,356580.0,f
833.0,623573.0,l
807.0,592942.0,g
359.0,483125.0,j
718.0,456311.0,h
813.0,228279.0,j
719.0,395743.0,i
280.0,482728.0,i
495.0,577931.0,d
469.0,495150.0,l
724.0,160047.0,b
591.0,850123.0,b
662.0,68079.0,l
966.0,698156.0,h
593.0,337123.0,j
34.0,400129.0,h
392.0,147536.0,b
967.0,313012.0,e
292.0,40726.0,e
828.0,190573.0,i
806.0,635896.0,g
369.0,72444.0,f
197.0,390701.0,i
393.0,843324.0,d
164.0,288718.0,j
211.0,525469.0,c
437.0,340181.0,c
257.0,993715.0,a
46.0,686912.0,h
322.0,234495.0,k
982.0,960695.0,b
885.0,752388.0,e
433.0,507387.0,a
895.0,582923.0,d
721.0,793651.0,k
130.0,187682.0,e
406.0,166177.0,f
243.0,604566.0,k
422.0,912163.0,j
400.0,987213.0,l
591.0,511533.0,l
719.0,298094.0,e
452.0,690259.0,i
553.0,515302.0,l
102.0,950330.0,f
390.0,648424.0,d
918.0,672670.0,b
369.0,111862.0,h
399.0,534549.0,b
558.0,548136.0,c
201.0,279808.0,c
583.0,566783.0,k
470.0,240954.0,k
508.0,293639.0,a
223.0,771276.0,h
585.0,301092.0,e
618.0,420823.0,b
420.0,532465.0,l
261.0,754431.0,d
501.0,336003.0,e
301.0,776317.0,d
589.0,247604.0,g
266.0,345528.0,j
804.0,225375.0,c
49.0,611751.0,c
317.0,686513.0,l
491.0,199379.0,c
40.0,17164.0,j
335.0,544300.0,l
875.0,159495.0,i
339.0,700864.0,l
396.0,980213.0,l
7.0,710301.0,h
542.0,447621.0,b
37.0,902473.0,k
206.0,377736.0,d
878.0,140247.0,e
840.0,381996.0,f
92.0,705417.0,k
490.0,402082.0,b
706.0,523729.0,b
581.0,523489.0,e
74.0,760108.0,b
886.0,340515.0,j
603.0,203945.0,a
307.0,574180.0,e
385.0,491274.0,j
640.0,682520.0,b
328.0,371916.0,h
470.0,523653.0,l
663.0,916571.0,j
820.0,887011.0,d
407.0,642309.0,k
58.0,549449.0,k
177.0,853444.0,e
251.0,540575.0,l
27.0,823200.0,k
279.0,551733.0,c
282.0,983959.0,l
446.0,969644.0,a
8.0,4676.0,k
60.0,596063.0,j
31.0,181014.0,f
6.0,522540.0,f
593.0,506086.0,i
396.0,769311.0,i
437.0,767858.0,e
667.0,553399.0,k
341.0,862998.0,h
913.0,245524.0,h
768.0,160569.0,e
500.0,902981.0,e
381.0,549847.0,c
448.0,810308.0,l
753.0,451931.0,f
911.0,661003.0,f
944.0,375588.0,j
817.0,630318.0,h
260.0,82532.0,l
355.0,120602.0,k
599.0,563778.0,f
511.0,838703.0,d
309.0,633162.0,h
325.0,294085.0,k
929.0,831972.0,k
999.0,304797.0,b
346.0,762800.0,j
612.0,489756.0,a
945.0,521715.0,l
459.0,790012.0,k
947.0,696551.0,g
197.0,29628.0,d
474.0,417436.0,k
65.0,954885.0,b
437.0,697168.0,h
109.0,765906.0,j
878.0,388556.0,a
974.0,684759.0,f
82.0,416906.0,a
441.0,303291.0,d
49.0,571560.0,i
817.0,769756.0,g
226.0,952259.0,g
618.0,621930.0,l
355.0,631040.0,h
682.0,380948.0,l
732.0,47193.0,i
668.0,320171.0,k
254.0,963786.0,c
291.0,429704.0,b
152.0,244486.0,a
899.0,923183.0,g
510.0,838942.0,e
103.0,872396.0,g
160.0,609527.0,d
879.0,36326.0,a
325.0,22325.0,b
326.0,52958.0,h
301.0,798573.0,c
389.0,535742.0,l
284.0,554366.0,a
641.0,118790.0,l
372.0,496910.0,h
359.0,676664.0,f
779.0,82736.0,h
834.0,659910.0,l
342.0,279522.0,a
591.0,696346.0,l
662.0,388064.0,d
704.0,59522.0,e
611.0,168519.0,b
292.0,980425.0,c
554.0,211916.0,j
433.0,717827.0,i
303.0,565671.0,g
742.0,186868.0,b
298.0,790166.0,d
404.0,862348.0,g
47.0,314746.0,g
49.0,686793.0,l
328.0,491565.0,a
370.0,101359.0,g
160.0,950281.0,i
776.0,417998.0,f
927.0,911305.0,b
307.0,175170.0,j
560.0,478916.0,e
65.0,431219.0,f
129.0,890941.0,b
909.0,450556.0,l
196.0,876582.0,k
250.0,823621.0,d
967.0,222546.0,c
486.0,173569.0,j
156.0,703081.0,g
2.0,109437.0,i
408.0,715607.0,l
299.0,734312.0,l
770.0,699715.0,k
315.0,309353.0,i
378.0,33817.0,f
759.0,880543.0,f
785.0,717308.0,b
243.0,816840.0,h
77.0,506506.0,f
75.0,433965.0,c
6.0,216828.0,e
33.0,753287.0,h
552.0,420255.0,b
656.0,230736.0,l
826.0,346898.0,i
970.0,239844.0,l
212.0,703945.0,c
685.0,66109.0,a
34.0,727886.0,b
494.0,374643.0,a
578.0,62396.0,e
724.0,204703.0,h
662.0,76183.0,g
827.0,195897.0,b
979.0,825604.0,g
871.0,743551.0,c
880.0,529017.0,d
348.0,871268.0,d
480.0,411799.0,h
57.0,975497.0,f
201.0,716505.0,b
302.0,962282.0,e
49.0,548556.0,b
75.0,407690.0,i
237.0,909863.0,l
992.0,290835.0,c
215.0,418428.0,i
470.0,424165.0,c
515.0,659550.0,d
281.0,726939.0,d
136.0,581814.0,d
975.0,825628.0,j
715.0,415516.0,j
536.0,856690.0,a
306.0,822334.0,c
445.0,132659.0,b
485.0,713379.0,j
525.0,444900.0,g
162.0,295752.0,k
66.0,899123.0,g
871.0,566055.0,b
782.0,821117.0,a
307.0,380390.0,a
563.0,719409.0,f
568.0,103698.0,l
504.0,40224.0,l
245.0,938152.0,l
462.0,328934.0,l
947.0,69823.0,e
875.0,320289.0,f
526.0,550732.0,i
896.0,18808.0,d
175.0,257756.0,l
220.0,814864.0,b
112.0,846791.0,b
556.0,46184.0,e
314.0,530244.0,f
788.0,74087.0,a
747.0,269424.0,i
567.0,255459.0,e
465.0,66892.0,c
65.0,463729.0,h
407.0,67978.0,h
368.0,644656.0,d
159.0,694555.0,d
819.0,545324.0,e
603.0,931782.0,k
544.0,315775.0,k
56.0,311631.0,a
482.0,413298.0,d
312.0,925029.0,a
832.0,933914.0,j
780.0,518995.0,f
882.0,107361.0,i
960.0,387950.0,i
476.0,816997.0,l
761.0,33682.0,g
399.0,224798.0,i
438.0,727547.0,f
71.0,954801.0,j
563.0,790202.0,k
327.0,737338.0,b
763.0,668148.0,i
777.0,997946.0,k
72.0,234757.0,f
15.0,340170.0,j
128.0,309644.0,b
98.0,847304.0,d
11.0,82946.0,j
31.0,67622.0,i
98.0,61742.0,h
179.0,828423.0,e
535.0,243430.0,f
181.0,101306.0,d
645.0,673995.0,i
745.0,592757.0,d
949.0,511547.0,e
260.0,159896.0,c
368.0,12852.0,k
906.0,992468.0,g
811.0,134375.0,a
339.0,825087.0,k
984.0,81789.0,i
284.0,95555.0,i
695.0,125414.0,l
761.0,899744.0,k
241.0,684162.0,a
972.0,208803.0,d
993.0,917775.0,i
77.0,837059.0,f
202.0,772035.0,b
552.0,633927.0,b
467.0,723126.0,h
379.0,883515.0,i
280.0,13462.0,i
585.0,486281.0,d
19.0,835761.0,l
167.0,203785.0,b
89.0,236197.0,e
565.0,449592.0,e
837.0,798928.0,a
403.0,230232.0,l
892.0,124062.0,c
958.0,144419.0,d
510.0,373627.0,b
395.0,852204.0,l
909.0,454326.0,j
265.0,53820.0,c
676.0,128456.0,a
680.0,969584.0,c
633.0,836751.0,d
362.0,679258.0,c
257.0,427684.0,e
349.0,366383.0,j
67.0,703361.0,e
245.0,233255.0,i
715.0,216828.0,c
406.0,93827.0,b
210.0,991689.0,l
141.0,252567.0,g
100.0,445284.0,g
872.0,948696.0,i
854.0,590453.0,a
595.0,760788.0,a
490.0,799780.0,l
886.0,673208.0,g
139.0,541853.0,i
623.0,814397.0,e
596.0,886261.0,c
272.0,79718.0,j
892.0,374116.0,k
681.0,621279.0,f
861.0,217716.0,j
405.0,378048.0,j
414.0,205763.0,c
644.0,897404.0,k
116.0,159380.0,d
974.0,927161.0,d
966.0,230277.0,e
353.0,413589.0,d
110.0,624231.0,a
816.0,394261.0,l
887.0,306379.0,a
174.0,841192.0,c
709.0,648325.0,e
729.0,538109.0,a
360.0,703999.0,d
208.0,302357.0,j
935.0,222036.0,k
664.0,102335.0,g
401.0,171627.0,h
242.0,674012.0,j
290.0,742685.0,c
244.0,257984.0,l
921.0,836690.0,k
704.0,812856.0,k
623.0,588829.0,l
58.0,493951.0,b
325.0,663476.0,g
751.0,517254.0,d
514.0,732281.0,j
538.0,274613.0,j
755.0,863531.0,d
542.0,351266.0,b
92.0,47650.0,h
825.0,619462.0,b
771.0,920272.0,i
725.0,630255.0,b
207.0,372643.0,j
96.0,750502.0,a
274.0,723077.0,e
448.0,745014.0,f
255.0,100571.0,b
568.0,252014.0,l
766.0,290265.0,k
864.0,448976.0,l
893.0,763875.0,d
884.0,653649.0,f
517.0,723218.0,l
637.0,619168.0,d
114.0,546290.0,e
621.0,502866.0,k
581.0,379745.0,i
404.0,356219.0,k
52.0,118761.0,j
152.0,132726.0,j
994.0,725072.0,h
19.0,906550.0,g
879.0,227896.0,i
650.0,808846.0,a
122.0,742208.0,e
426.0,92363.0,h
499.0,334327.0,j
209.0,821650.0,k
19.0,627230.0,f
129.0,342503.0,k
906.0,315137.0,a
511.0,696881.0,h
805.0,429285.0,e
650.0,759244.0,l
113.0,890997.0,b
881.0,479945.0,j
609.0,524275.0,f
990.0,423657.0,c
45.0,698214.0,l
502.0,397587.0,c
11.0,549838.0,b
504.0,733755.0,i
376.0,166089.0,f
913.0,909168.0,k
863.0,436598.0,e
123.0,979717.0,a
527.0,439711.0,e
193.0,235293.0,a
782.0,23032.0,j
346.0,652453.0,i
791.0,682431.0,i
812.0,384222.0,c
887.0,642542.0,e
991.0,249685.0,c
342.0,414913.0,d
552.0,755685.0,k
209.0,125907.0,i
726.0,6436.0,k
130.0,881526.0,g
227.0,390032.0,j
76.0,526578.0,a
431.0,763282.0,b
346.0,314618.0,f
898.0,892473.0,f
755.0,97607.0,e
774.0,950155.0,g
104.0,19313.0,f
40.0,585906.0,e
919.0,74438.0,d
816.0,735963.0,g
808.0,60003.0,d
435.0,748788.0,f
510.0,611767.0,g
992.0,705463.0,b
493.0,432068.0,f
338.0,620663.0,f
385.0,438355.0,c
938.0,648342.0,a
743.0,9883.0,e
987.0,386197.0,e
953.0,32578.0,l
926.0,479160.0,j
413.0,504263.0,l
723.0,616561.0,b
236.0,35801.0,c
826.0,957922.0,b
547.0,338899.0,h
98.0,150874.0,d
666.0,96468.0,g
267.0,102994.0,h
989.0,576553.0,a
193.0,412154.0,e
871.0,742605.0,e
821.0,673473.0,k
303.0,742121.0,j
629.0,236125.0,j
901.0,235925.0,k
284.0,686354.0,k
905.0,213351.0,a
314.0,774893.0,k
518.0,503838.0,i
581.0,21965.0,b
251.0,541051.0,k
786.0,229964.0,e
749.0,779426.0,e
107.0,341592.0,i
177.0,210225.0,b
584.0,168705.0,f
538.0,661006.0,l
441.0,247195.0,f
952.0,220791.0,h
901.0,808643.0,c
341.0,975659.0,l
920.0,94066.0,k
729.0,978429.0,h
393.0,674632.0,i
534.0,125334.0,g
552.0,487471.0,g
883.0,210074.0,c
378.0,364723.0,h
913.0,267551.0,f
19.0,435956.0,g
673.0,118324.0,h
323.0,559770.0,l
314.0,989382.0,k
657.0,628756.0,l
803.0,201134.0,f
863.0,928898.0,l
485.0,941779.0,d
160.0,415394.0,c
507.0,811986.0,k
507.0,969123.0,c
301.0,432109.0,a
518.0,48238.0,f
672.0,183937.0,a
212.0,144515.0,b
563.0,973133.0,g
178.0,374862.0,g
522.0,291277.0,h
100.0,946879.0,i
251.0,919019.0,c
190.0,14310.0,f
166.0,656536.0,j
930.0,432606.0,j
564.0,160259.0,e
275.0,575982.0,e
721.0,887502.0,l
819.0,630848.0,l
579.0,527200.0,l
697.0,593958.0,d
407.0,169446.0,j
685.0,624018.0,b
151.0,450671.0,b
214.0,456694.0,k
751.0,118454.0,i
820.0,431137.0,e
153.0,568421.0,a
659.0,327128.0,f
248.0,608089.0,d
107.0,914743.0,e
830.0,810434.0,j
385.0,192945.0,h
928.0,204042.0,c
82.0,600779.0,b
811.0,866255.0,f
950.0,362876.0,e
379.0,914773.0,l
924.0,628828.0,a
694.0,141696.0,i
98.0,249243.0,b
236.0,514059.0,h
409.0,235158.0,d
363.0,367571.0,e
587.0,254508.0,e
746.0,413809.0,g
676.0,976074.0,i
639.0,605411.0,e
303.0,875859.0,j
91.0,517678.0,d
734.0,959113.0,g
718.0,198879.0,a
583.0,14664.0,l
864.0,867446.0,e
130.0,21476.0,j
115.0,400279.0,g
959.0,278461.0,a
884.0,231504.0,d
604.0,74554.0,h
603.0,758398.0,d
533.0,978375.0,l
702.0,674469.0,k
6.0,487260.0,j
146.0,109423.0,h
607.0,594631.0,k
411.0,271484.0,j
744.0,404087.0,f
281.0,369572.0,i
216.0,647522.0,f
510.0,333851.0,l
117.0,884577.0,l
965.0,337812.0,i
510.0,390369.0,e
455.0,480293.0,c
445.0,233084.0,i
46.0,859279.0,k
549.0,542656.0,g
235.0,442135.0,d
527.0,995907.0,j
918.0,78041.0,h
988.0,136198.0,f
437.0,230891.0,h
866.0,726363.0,g
361.0,413869.0,l
628.0,634367.0,f
816.0,606642.0,c
238.0,306202.0,k
274.0,639697.0,c
436.0,549317.0,a
423.0,569767.0,a
951.0,478038.0,j
299.0,837224.0,k
256.0,855252.0,j
670.0,818418.0,j
492.0,579760.0,j
199.0,620143.0,d
156.0,125258.0,k
449.0,875370.0,f
820.0,904877.0,k
635.0,21014.0,h
693.0,400976.0,g
396.0,857842.0,b
84.0,182074.0,f
76.0,191200.0,a
991.0,833889.0,f
30.0,490878.0,j
626.0,197706.0,b
418.0,81686.0,b
549.0,582789.0,j
391.0,470434.0,d
687.0,415548.0,e
479.0,336057.0,b
404.0,621362.0,i
142.0,403891.0,e
626.0,489436.0,j
653.0,182363.0,k
644.0,25261.0,d
723.0,264890.0,c
272.0,280856.0,l
496.0,492364.0,f
114.0,679192.0,h
299.0,736169.0,b
784.0,956759.0,l
236.0,694812.0,g
903.0,50960.0,i
681.0,351685.0,k
312.0,467132.0,f
517.0,170912.0,e
750.0,709326.0,d
297.0,212167.0,e
721.0,90020.0,b
850.0,302152.0,g
921.0,494149.0,f
596.0,699073.0,j
704.0,400780.0,b
823.0,885487.0,h
854.0,632102.0,c
351.0,879560.0,f
521.0,292009.0,j
273.0,7567.0,g
402.0,400119.0,f
867.0,921863.0,h
481.0,267087.0,d
607.0,154306.0,h
339.0,244619.0,e
901.0,600357.0,f
841.0,683575.0,h
468.0,859401.0,b
494.0,27778.0,j
503.0,364571.0,b
282.0,450294.0,f
322.0,258679.0,b
887.0,822105.0,g
314.0,144447.0,k
354.0,3466.0,a
4.0,599267.0,f
623.0,553727.0,h
116.0,714072.0,a
40.0,115522.0,a
550.0,998695.0,d
141.0,914539.0,f
253.0,994177.0,f
618.0,987053.0,b
779.0,483158.0,d
229.0,486198.0,j
918.0,431934.0,h
254.0,735430.0,c
227.0,2847.0,k
461.0,925164.0,b
164.0,549616.0,a
55.0,5105.0,a
408.0,620293.0,j
357.0,508825.0,i
702.0,971773.0,e
727.0,403312.0,k
404.0,952191.0,k
209.0,871853.0,h
424.0,275552.0,e
854.0,701379.0,l
328.0,85394.0,b
443.0,290173.0,j
22.0,256967.0,e
381.0,987215.0,h
346.0,914901.0,l
48.0,991853.0,j
194.0,179972.0,e
710.0,250677.0,f
438.0,161074.0,h
177.0,673099.0,l
372.0,552114.0,d
637.0,372190.0,c
665.0,769536.0,a
643.0,145372.0,g
882.0,344552.0,d
117.0,161135.0,c
125.0,165272.0,e
104.0,588304.0,l
73.0,187318.0,j
185.0,439213.0,h
811.0,328309.0,g
463.0,457295.0,c
465.0,516768.0,d
687.0,532680.0,b
872.0,575497.0,f
46.0,615137.0,g
776.0,917886.0,k
256.0,340846.0,h
764.0,53301.0,d
659.0,395270.0,d
387.0,824024.0,j
131.0,289874.0,d
940.0,187087.0,i
480.0,777323.0,d
795.0,140100.0,e
967.0,431179.0,f
224.0,51541.0,c
691.0,375187.0,h
208.0,825063.0,a
403.0,264296.0,l
715.0,427035.0,e
444.0,49884.0,h
648.0,6846.0,f
277.0,493189.0,h
447.0,576427.0,b
438.0,182013.0,a
56.0,358079.0,i
677.0,622005.0,i
883.0,663937.0,e
778.0,860251.0,j
981.0,399329.0,d
688.0,690266.0,e
394.0,569045.0,a
379.0,78334.0,l
380.0,896285.0,e
81.0,48886.0,e
201.0,376436.0,g
82.0,60565.0,k
580.0,695595.0,g
972.0,210750.0,l
79.0,626981.0,h
998.0,597795.0,h
135.0,804717.0,b
650.0,257967.0,f
125.0,777973.0,k
117.0,719928.0,i
420.0,619363.0,g
32.0,533389.0,h
260.0,791321.0,g
526.0,931432.0,l
739.0,12693.0,k
193.0,758187.0,l
978.0,992264.0,g
263.0,899583.0,l
313.0,993014.0,c
96.0,459966.0,i
725.0,756568.0,j
715.0,577825.0,h
857.0,606472.0,k
445.0,645475.0,k
832.0,509587.0,e
269.0,217620.0,k
259.0,314188.0,a
71.0,175799.0,i
79.0,442275.0,g
739.0,489163.0,f
514.0,378135.0,g
878.0,746936.0,e
308.0,632886.0,l
254.0,234411.0,j
981.0,892075.0,h
8.0,374976.0,b
475.0,858845.0,g
666.0,793306.0,k
412.0,894807.0,g
359.0,344962.0,k
443.0,11543.0,h
525.0,246852.0,b
394.0,910797.0,l
486.0,578883.0,e
952.0,894399.0,h
51.0,714425.0,k
521.0,584457.0,e
690.0,51846.0,k
597.0,764743.0,k
532.0,314515.0,g
779.0,70247.0,e
144.0,572711.0,l
584.0,754839.0,g
293.0,479018.0,l
498.0,642611.0,d
257.0,67881.0,j
286.0,775113.0,e
954.0,900718.0,l
380.0,337350.0,f
948.0,787169.0,a
684.0,867755.0,h
821.0,259946.0,j
247.0,528277.0,d
549.0,261832.0,d
136.0,539437.0,k
68.0,308181.0,b
822.0,879545.0,j
689.0,114708.0,k
221.0,986416.0,g
284.0,926895.0,k
579.0,221493.0,f
16.0,583507.0,k
932.0,771890.0,b
779.0,429004.0,e
